report_version,scenario,route_id,classification,evidence_strength,transaction_class,expected_count,complete_count,missing_count,invalid_exclusion_count,success_count,inconclusive_count,policy_success_rate,wilson95_low,wilson95_high,input_hash
SovereignKitPublicExperimentalReport@0.1.0,HEALTHY,route-a,HEALTHY,LIMITED,MATCHED_CONTROL,30,30,0,0,30,0,1.000000,0.886487,1.000000,1bb56037ed7652f2704a633d6f265266a0b870b8deb88ba16d4b4a96abfe9726
SovereignKitPublicExperimentalReport@0.1.0,HEALTHY,route-a,HEALTHY,LIMITED,PROGRAM_X,30,30,0,0,30,0,1.000000,0.886487,1.000000,1bb56037ed7652f2704a633d6f265266a0b870b8deb88ba16d4b4a96abfe9726
SovereignKitPublicExperimentalReport@0.1.0,HEALTHY,route-b,HEALTHY,LIMITED,MATCHED_CONTROL,30,30,0,0,30,0,1.000000,0.886487,1.000000,1bb56037ed7652f2704a633d6f265266a0b870b8deb88ba16d4b4a96abfe9726
SovereignKitPublicExperimentalReport@0.1.0,HEALTHY,route-b,HEALTHY,LIMITED,PROGRAM_X,30,30,0,0,30,0,1.000000,0.886487,1.000000,1bb56037ed7652f2704a633d6f265266a0b870b8deb88ba16d4b4a96abfe9726
SovereignKitPublicExperimentalReport@0.1.0,HEALTHY,route-c,HEALTHY,LIMITED,MATCHED_CONTROL,30,30,0,0,30,0,1.000000,0.886487,1.000000,1bb56037ed7652f2704a633d6f265266a0b870b8deb88ba16d4b4a96abfe9726
SovereignKitPublicExperimentalReport@0.1.0,HEALTHY,route-c,HEALTHY,LIMITED,PROGRAM_X,30,30,0,0,30,0,1.000000,0.886487,1.000000,1bb56037ed7652f2704a633d6f265266a0b870b8deb88ba16d4b4a96abfe9726
SovereignKitPublicExperimentalReport@0.1.0,DEGRADED,route-a,DEGRADED,LIMITED,MATCHED_CONTROL,30,30,0,0,6,0,0.200000,0.095051,0.373057,5f55ee67616fba5411c66b26553309ed2eefe8a77e32d827894789694eb62f83
SovereignKitPublicExperimentalReport@0.1.0,DEGRADED,route-a,DEGRADED,LIMITED,PROGRAM_X,30,30,0,0,6,0,0.200000,0.095051,0.373057,5f55ee67616fba5411c66b26553309ed2eefe8a77e32d827894789694eb62f83
SovereignKitPublicExperimentalReport@0.1.0,DEGRADED,route-b,HEALTHY,LIMITED,MATCHED_CONTROL,30,30,0,0,30,0,1.000000,0.886487,1.000000,5f55ee67616fba5411c66b26553309ed2eefe8a77e32d827894789694eb62f83
SovereignKitPublicExperimentalReport@0.1.0,DEGRADED,route-b,HEALTHY,LIMITED,PROGRAM_X,30,30,0,0,30,0,1.000000,0.886487,1.000000,5f55ee67616fba5411c66b26553309ed2eefe8a77e32d827894789694eb62f83
SovereignKitPublicExperimentalReport@0.1.0,DEGRADED,route-c,HEALTHY,LIMITED,MATCHED_CONTROL,30,30,0,0,30,0,1.000000,0.886487,1.000000,5f55ee67616fba5411c66b26553309ed2eefe8a77e32d827894789694eb62f83
SovereignKitPublicExperimentalReport@0.1.0,DEGRADED,route-c,HEALTHY,LIMITED,PROGRAM_X,30,30,0,0,30,0,1.000000,0.886487,1.000000,5f55ee67616fba5411c66b26553309ed2eefe8a77e32d827894789694eb62f83
SovereignKitPublicExperimentalReport@0.1.0,ASYMMETRIC,route-a,ASYMMETRIC,LIMITED,MATCHED_CONTROL,30,30,0,0,30,0,1.000000,0.886487,1.000000,ff82b977498c033ff7ea730e9a5b2eb7f98bfd5004bad2c5d691adfd52952377
SovereignKitPublicExperimentalReport@0.1.0,ASYMMETRIC,route-a,ASYMMETRIC,LIMITED,PROGRAM_X,30,30,0,0,0,0,0.000000,0.000000,0.113513,ff82b977498c033ff7ea730e9a5b2eb7f98bfd5004bad2c5d691adfd52952377
SovereignKitPublicExperimentalReport@0.1.0,ASYMMETRIC,route-b,HEALTHY,LIMITED,MATCHED_CONTROL,30,30,0,0,30,0,1.000000,0.886487,1.000000,ff82b977498c033ff7ea730e9a5b2eb7f98bfd5004bad2c5d691adfd52952377
SovereignKitPublicExperimentalReport@0.1.0,ASYMMETRIC,route-b,HEALTHY,LIMITED,PROGRAM_X,30,30,0,0,30,0,1.000000,0.886487,1.000000,ff82b977498c033ff7ea730e9a5b2eb7f98bfd5004bad2c5d691adfd52952377
SovereignKitPublicExperimentalReport@0.1.0,ASYMMETRIC,route-c,HEALTHY,LIMITED,MATCHED_CONTROL,30,30,0,0,30,0,1.000000,0.886487,1.000000,ff82b977498c033ff7ea730e9a5b2eb7f98bfd5004bad2c5d691adfd52952377
SovereignKitPublicExperimentalReport@0.1.0,ASYMMETRIC,route-c,HEALTHY,LIMITED,PROGRAM_X,30,30,0,0,30,0,1.000000,0.886487,1.000000,ff82b977498c033ff7ea730e9a5b2eb7f98bfd5004bad2c5d691adfd52952377
SovereignKitPublicExperimentalReport@0.1.0,INSUFFICIENT_DATA,route-a,INSUFFICIENT_DATA,INSUFFICIENT,MATCHED_CONTROL,10,10,0,0,10,0,1.000000,0.722467,1.000000,0b53085647fe6c524365cc1f7528fbccf95d8283e3f664721d1049af2359230e
SovereignKitPublicExperimentalReport@0.1.0,INSUFFICIENT_DATA,route-a,INSUFFICIENT_DATA,INSUFFICIENT,PROGRAM_X,10,10,0,0,10,0,1.000000,0.722467,1.000000,0b53085647fe6c524365cc1f7528fbccf95d8283e3f664721d1049af2359230e
SovereignKitPublicExperimentalReport@0.1.0,INSUFFICIENT_DATA,route-b,INSUFFICIENT_DATA,INSUFFICIENT,MATCHED_CONTROL,10,10,0,0,10,0,1.000000,0.722467,1.000000,0b53085647fe6c524365cc1f7528fbccf95d8283e3f664721d1049af2359230e
SovereignKitPublicExperimentalReport@0.1.0,INSUFFICIENT_DATA,route-b,INSUFFICIENT_DATA,INSUFFICIENT,PROGRAM_X,10,10,0,0,10,0,1.000000,0.722467,1.000000,0b53085647fe6c524365cc1f7528fbccf95d8283e3f664721d1049af2359230e
SovereignKitPublicExperimentalReport@0.1.0,INSUFFICIENT_DATA,route-c,INSUFFICIENT_DATA,INSUFFICIENT,MATCHED_CONTROL,10,10,0,0,10,0,1.000000,0.722467,1.000000,0b53085647fe6c524365cc1f7528fbccf95d8283e3f664721d1049af2359230e
SovereignKitPublicExperimentalReport@0.1.0,INSUFFICIENT_DATA,route-c,INSUFFICIENT_DATA,INSUFFICIENT,PROGRAM_X,10,10,0,0,10,0,1.000000,0.722467,1.000000,0b53085647fe6c524365cc1f7528fbccf95d8283e3f664721d1049af2359230e
